sentence,acceptable
"У тебя три брата и две сестры, и если потребуется, ты должен помогать любому из них.",1
Недалеко от меня возле избушки человек копал канаву.,1
Три раза я тебя предупреждал!,1
Рыбак быстро надел наживку на крючок и забросил удочку в воду.,1
Бурмин – этот милый молодой человек.,1
"Тут именно танцевалось в простоте сердец, чтоб веселиться и даже беситься.",1
Перед началом занятия он открывает окно.,1
Татьяна любила гадать и старинные предания.,0
Этой весной опять был сильный голод: уже второй год шла война.,1
Она быстро пооткрывала окно и со всего размаху швырнула книгу в него.,0
Они насилу дошли до конца сада.,1
Он выбрал сотрудницу по внешности.,1
Вблизи стоял большой каменный дом.,0
Сегодня отец уже был на море.,1
Одолжи отвертку разобрать механизм!,1
Ему дали строгий выговор с занесением в личное дело.,1
"Может, даже на дачу куплю старенький телевизор, лишь бы ни одного матча не пропустить.",1
"Я обратил внимание, в чем ошибка.",0
"А смерть, которую Олег видел собственными глазами, была обманом.",1
Он был когда-то литератором и был огорчен и не признан.,1
Я поставил фонарь около ведра.,1
То есть я сам еще на самом-то деле только начинал обо всем догадываться.,1
Возле крайней избы поселка стояла баба в короткой исподнице.,1
На этот раз он не выиграл.,1
Немедленно прекратите какие бы то ни было поисковые работы.,1
Долгое время они нуждались.,1
"С кем ты не знаешь, как разговаривать?",1
Он принимает таблетку аспирина.,0
"Ей снится, что будто бы она идет по снеговой поляне, а вокруг птицы чудные летают.",0
"Я принимаю его таким, как он есть.",1
Она долго звала сына домой.,1
"В кабинете у инструктора стоял цветок, подаренный ему коллегами и о котором он нежно заботился.",0
Здесь можно перейти улицу.,1
Каждый правитель в России за время своего царствования делал как минимум две вещи: начинал бороться со взятками и признал невозможность побороть их.,0
"Комендант немедленно посадил урядника под караул, а Юлая назначил на его место.",1
Он неделю не умывался.,1
Варвара была умна и необыкновенно красива.,1
Налицо неподвластность человеческого тела каким бы то ни было манипуляциям.,1
"Он всегда говорил очень убедительно, хотя у меня возникали некоторые сомнения.",1
"При условии, что много заниматься с ребенком, можно добиться больших успехов.",0
Пусть она встанет туда!,1
"Студенты, сами сведущие в эскимосском языке, не смогли разобрать здесь ни слова.",1
Двух ошибок он не заметил.,1
"Первый огонек блеснул вдали, на противоположной горе, в одиноком домике близ шлагбаума.",1
"Опытный шаман делает подношения во время игры - жгёт костер, готовит пищу.",0
"Я считаю недопустимым жить так, как они живут.",1
"Услышав это, Миша немедленно не ушел.",0
Попробуем проследить биографию антиквариата как особой категории товаров.,1
Копье вонзилось в дерево возле самой его головы.,1
Я гуляю с трех до пяти.,1
"Он назначил отъезд на время 20 августа, и в назначенный час императорский поезд тронулся к границе.",0
"Собака уже несколько часов стояла рядом с облупившейся, грязной стеной, ожидая своего хозяина.",0
В министерстве уже были предупреждены о нашем приезде.,1
"Кого ты хочешь, чтобы я погладил по голове?",1
Я прошу у вас прощенья за вчерашнее.,1
Вчера президент имел неофициальную беседу с голландским послом.,1
Он подошел совсем близко ко мне.,1
Он не был там и разу.,0
В тот момент я считал это несущественным.,1
Я не стану давать тебе никаких указаний.,1
Пруста очень трудно читать.,1
Ты можешь доехать до вокзала на этом автобусе.,1
Она живет в небольшом городе около Москвы.,1
Этот астероид наблюдается нами с 1987 года.,1
"И тебе смерть, и мне смерть.",1
"Все вымокнув под дождем, они добежали до станции.",1
"Брат надеется, что поступит в университет.",1
"В усадьбе сохранились уникальные липовые аллеи, вековые дубы и высаженные в прошлом веке сибирские кедры.",1
"У нее ест талант, а у меня есть деньги.",1
Мое тело белело в темноте.,0
Противник выбит из деревни и с высоты.,1
Ты можешь быть завтра дома в это время?,1
"Ливерий, в просторечии Ливка, рос сорванцом, обнаруживая разносторонние и незаурядные способности.",1
"Около нашей дачи, ни от кого не таясь и не прячась, КГБ установил дежурство — черная Волга, а в ней несколько человек.",1
"Все разбежались, когда началась гроза.",1
Во вторник состоялся очередной матч третьего отборочного тура.,1
"Готовые тосты можно украсить базиликом, который нужно предварительно вымыть, хорошо отряхнуть от капель и нарезать полосками.",1
"Он все-таки дал ей ту книгу, которую она хотела.",1
"Я невольно стиснул рукоять моей шпаги, вспомня, что накануне получил ее из ее рук.",1
Биссектриса угла при вершине всякого равнобедренного треугольника является осью симметрии.,1
Только ты можешь дать мне страдание.,0
"Я подозреваю, что его обманывают.",1
"Мое сердце изливалось кровью, когда я видел их одними и такими счастливыми.",0
"Он не знает дороги к партизанам,— ответила мать.",1
У Юдиной была комфортабельная дача.,1
Она села отдохнуть у красивой поляны.,0
Пелагея садится невдалеке на припеке.,0
"Если откроешь свое дело, придется всем взятки давать.",1
"Маленькая фигура самой госпожи Дорн в конце стола казалась очень неуместной, жалкой и потерянной.",1
Очки лежали около книги.,1
В Лондон приехал с семьей Герцен.,1
Он дал этот концерт в честь своего учителя.,1
"Зато как никогда захотелось быть с Ангелиной, и это не из-за только упрямства, – поднялась в душе волна уверенности, что любит её.",0
"Если быть выпоронному или повешенному составляет право преступника, пусть же он сам и предъявляет его, если оно нарушено.",1
Каким мальчиком он оказался?,1
На этом автобусе можно доехать до центра.,1
"Она красива, но Джон так не считает.",1
К этому времени пирог был уже испечен.,1
"Я полагаю, что он должен так поступить.",1
"Почему я решил, что человека, с которым я сел рядом, зовут Василием Ивановичем?",1
Кофе будет через минуту.,1
"Я не знаю, куда он пошел.",1
Не помогать вам — это не значит не помогать никому.,1
"Ум мой бессознательно отказывался выводить всякие заключения из того, что я видел.",0
Я сейчас пишу письмо.,1
"Головка приподнялась, Германн увидел свежее личико и черные глаза.",1
Он отмечал недостатки в работе торговой сети.,1
Очки лежали у книги.,0
"Уже три года у них есть собственная дача, а они туда совсем не ездят.",1
Температура за это время повышалась?,1
Илья и Света поцеловали друг друга.,1
"Выделив все грамматические основы, устанавливается структура предложения.",0
Дима завершил свой туалет итальянским плащом болонья с золотыми пряжками на погонах.,1
Меня могло бы здесь не быть.,1
В тот момент Ян дважды ударял Павла.,0
В сражении при Гастингсе англичане потерпели поражение.,1
От кого вы получили эти сведения?,1
"Фарфоровая ваза была подарена графу его величеством взамен знаменитому сосуду, который граф со смирением и благочестием передал в церковь Преображенского полка.",0
Эти препараты сейчас нашлись.,1
Ваше присутствие помешало мне громко произнести слово «Позор!»,1
"Я приму эти деньги, но приму их только от вас и ни от кого другого.",1
Куда тебя утром Татьяна-то посылала?,1
"Заедь завтра ко мне, я тебе прочту.",0
Ни облачка на небе не бродило.,1
"Я рад, что занятий не будет.",1
"Его затрясло, тело его наполнилось огнем, он стал стучать зубами и поминутно просить пить.",1
Наш полк стоял вдали от Москвы.,1
"Я не принимаю, что я вел себя непорядочно.",0
Детей жалко –– они не виноваты.,1
Вы когда-нибудь пили такое вино?,1
"Докладчик заострил внимание на вопросе, что нередко поднимается на подобных собраниях.",0
В комнату вошла девочка лет восьми с двумя мелко заплетенными косичками.,1
"Были в ней и скромность, и изящество, и достоинство.",1
Он отказался никому не помогать.,1
"Ральф считает про человека в желтой шляпе, что он шпион.",1
Ты не видел Машу?,1
"А весной, когда до конца тают снега и приходит пора яростных ливней, речки возрождаются и промывают себе новые русла.",0
Я взял с него обещание.,1
Вчера поздно вечером иду я по Кузнецкому.,1
"Родители наняли мальчику гувернера, учить его французскому языку.",1
Я не считаю уместным давать никакие указания.,0
Магазин в два часа закрыт.,1
Сахарница стояла около чайника.,1
"Я считаю, когда ты принял решение сесть за руль пьяным, ты уже преступник.",1
"Журналистка была приглашена писателем для того, чтобы взять у него интервью.",1
Этот пришел был очень тяжелым.,0
Бурмин был в самом деле очень милый молодой человек.,1
Железо тонет в воде.,1
"Он был задержан участковым милиционером, приведён в отделение за нарушение порядка на улицах Прибайкальска.",1
Мы еще и не начали репетицию.,1
Относительно Лары существовал на случай этих летних поездок такой неписаный уговор.,1
"Через минуту нам опять открылась панорама громадного северного порта, масса зданий, и дымов, и труб, и судов на Двине.",1
Художник нарисовал макет обложки –– условный городской пейзаж.,1
Его легкомыслие ведет его к гибели.,1
Не гремело победных маршей.,1
Однажды он был встречен ею принаряженным.,1
Как мама потом нашла у дочки в шкафе этот свёрток с бельём и стала сама для неё вручную делать бельё маленьких размеров.,0
"Я увидел мальчика, которого мы вчера видели во дворе.",1
"Адам слишком устал, чтобы делать какую бы то ни было домашнюю работу.",1
Тонкие стволы берез белели редко и отчетливо.,1
"Через тридцать минут, стоя у плиты и совершая героический подвиг – приготовление еды, я вся взмокла от стараний.",0
Я похож с братом.,0
"Он думает, что все люди по природе добры.",1
И ночные вызова на работу случались.,0
Он съел мясо сырым.,1
Хорошо бы он не надел второпях мою шляпу.,1
Ваня обрадовал нашу маму своим приходом.,1
"Вдобавок, в коридоре было холодно, и мальчик совсем озябнул.",0
"Принято считать, что Сочи стало курортом в 1909 году, когда открылся гостиничный комплекс «Кавказская Ривьера».",0
"Он знает, что полк перебросят на другой участок фронта и другие планы командования.",0
Его давно не было в Москве.,1
Мы считаем диктат с вашей стороны совершенно недопустимым.,1
"В рассказе «Старуха Изергиль» Горький изображал исключительные характеры, возвеличивает гордых и сильных духом людей, для которых свобода превыше всего.",0
"Он оправдывался тем, что его ружье слишком долго было заряжено.",1
"Мужчина не помнил ничего, что с ним происходило вчера, и уточнио у меня про то, в чем мы разговаривали.",0
"Спасительный оазис то показывался, то исчез снова.",0
"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду.",0
Рядом с больным стояла чашка с бульоном.,1
Иван не понимает мое желание быть нужной близким.,1
"Я сказал это, чтобы что-то сказать.",1
"После этого приступа он слег, чтобы уже не встать.",1
"Даня не любил учителей, которым был Иван.",0
"Люди, и без того жившие на грани нищеты, оказались лишены каких-либо средств к существованию.",1
Вода кипит при 100 градусах.,1
"Эта ваза стоит 300 рублей, но я отдам ее за 250 рублей.",1
Я предпочитаю воздерживаться от всякого вмешательства.,1
"Борис перестал бывать у Элен, ежедневно получал укоризненные записки от нее и все-таки целые дни проводил у Ростовых.",1
Я не считаю уместным давать какие бы то ни было указания.,1
Иван не порадовал нас своим возвращением.,1
Ребенок тянул подол матери.,1
"Перчатки она решила поигнорировать – для неё, почти всю жизнь проходившей в футболках и джинсах, это было уже слишком.",0
Девочки оказались каждая на своем месте.,1
"Однако космонавты испытывают состояние ее, так как они как бы все время падают на Землю, но промахиваются.",0
"Мне не хватило двух минут, чтобы высказать ему все, что я о нем думаю.",1
"Передавай ему привет, когда увидишь.",1
"Как готов поклясться Иван, изменения необходимы.",0
"Мы отправили на эту конференцию наши доклады, потому что она для нас была очень важна.",1
Звезд на его груди уже не блистало.,1
Он постепенно решил эту задачу.,1
Не стоит принижать заслуг тренера в победе его воспитанников — юных футболистов — в матче с более опытным соперником.,1
Крестьянин был убит разбойниками.,1
"Когда я вошел, он ел две груши.",0
Я привык разговаривать не в таком тоне.,1
Я испугался его прихода.,1
Налицо неподвластность человеческого тела каким-либо манипуляциям.,1
Я поздоровался с ней первым.,1
Генерала не выдали испанскому прокурору предать суду за совершенные преступления.,0
Егорушка подошел к столу и сел на скамью около чьей-то головы.,1
"Он работает не один, уже пять лет у него есть помощник.",1
Она покупает несколько квартир.,1
"Не думаю, что Ваня тоже понял.",1
"У нас нет свидетеля, говорящего всю правду, ничего не скрывая и не прибавляя.",1
"Иван считает, что книги, которые сгорели, не сгорели.",1
Он сегодня утром плавал в Мертвом море.,1
"Пожалуй, стоит изменить место встречи вокзал.",0
Коля не находил своего ключа.,1
Так я любила тогда выражаться.,1
Они давно живут в Стрелецке.,1
Только этого недоставало!,1
"На кухне, он ясно слышал, кто-то был.",1
"Конечно, ни Иванушка, ни этот клетчатый не толкали под трамвай несчастного председателя МАССОЛИТа, физически, так сказать, его падению под колеса не способствовал никто.",1
"Люди, стоящие поблизости от меня, бросились бежать.",1
Ты еще за это поплатишься!,1
Она ходила в баню по субботам.,1
Она попросила дать ей денег.,1
Одна женщина подарила мальчику яблоко.,1
"Направление сетевых изданий зачастую почти неуловимо, отсутствует какая бы то ни было внутренняя цензура.",1
Я жду его уже довольно долго.,1
Просто Герман оказался здоровше других.,0
Вдали окруженный горами виднелся величавый Бешту.,1
"Она казалась тонкой и худенькой и выше, чем на самом деле, в своей длинной ночной убашке до пят.",1
Вода смешивается со спиртом.,1
Пять веселых солдат интендантами сразу назначил.,1
Я таких людей презираю и гнушаюсь.,0
"Он не хочет, чтобы я читал журналов.",0
Что вы предпочитаете — водку или коньяк?,1
Я провожу вечера у радио.,1
"Ему многое нужно узнать от француженки, очень многое.",1
"Делегатам показалось настолько очевидной зависимость состояния службы семьи региона от позиции руководства, что они даже не стали задавать вопросы.",0
Завтра в это время я буду уже далеко.,1
Я встретил ее здоровым.,1
"Обвинив во всем сотрудниц, он одну уволил, а другой объявил выговор.",1
"Ассортимент продукции, представленный на нашем сайте, необычайно широк.",1
И не был он только на Днепре.,1
"Да, Михаил Александрович никуда не мог позвонить, и совершенно напрасно возмущались и кричали Денискин, Глухарев и Квант с Бескудниковым.",1
"Мы говорим врагам: сдавайтесь, или мы вас уничтожим.",1
"Но он почти не видел одним глазом, запойную страсть к чтению он унаследовал от отца и основательно испортил зрение.",1
"Наверное, я выглядел смешным.",1
Он считает себя счастливым.,1
"Ошибается он, твой приятель.",1
Никого не было дома.,1
Я был у приятеля.,1
По выдаваемым специальным ордерам на детей можно было купить пару рубашек на год или сшить их из полтора метров материи.,0
"Но испуганный машинист без конца требовал пара, сам помогая кормить топку.",1
Ты послал ей приглашение на свадьбу?,1
Сегодня я еще не был на море.,1
Я рассердился на него за грубость.,1
"Петя сказал, что стоять там холодно, и это действительно оказалось холодно.",0
"А сапоги я вам блестящие принесу, ещё красивше ваших!",0
"Горная Шотландия отличалась от равнинной не только рельефом, а и культурными особенностями.",0
"Юноши готовились к соревнованиям наездников, считавшихся у черкесов большим событием.",0
Бабушка испекет булочки и пойдёт по соседям.,0
Он располнел и постарел.,1
"Ему казалось, что около самого его уха непрерывно ревет сирена, и этот звук был для него непереносим.",1
"Преподаватель руководил дипломной работой группы студентов, интересующимися современной литературой.",0
Вдова Ивана Ивановича живет в Горьком.,1
Полностью он не должен делать всю работу.,1
"Я знал, что этот таинственный незнакомец часто мне помогает.",1
"Вероятно, там кто-то был?",1
"Дом, в котором мы жили первые годы по приезду в Петербург, находился на набережной Красного канала.",0
Иван не сможет переплыть Москва-реку.,1
Сейчас картина была вывезена в Америку.,0
Сегодня меня еще не было дома.,0
Он съел одну грушу.,1
"Объяснение, мягко говоря, странное: читать документы о взаимоотношениях с Евросоюзом или Германией можно в кремлевском кабинете.",1
"Утро началось с того, что каша подгорела.",1
"Среди сотрудников нашего института есть такие, которые отдыхали на юге.",1
Я видел ее только в профиль.,1
Ефим тоже растерялся и второпях – от благодарности – слишком занизил цену.,1
Моя шутка его обидела.,1
"И живи потом со своей правдочкой, пока заживо не сгниёшь, мучайся.",1
Врач принимает за утро 18 больных.,1
Я дал ему пощечину.,1
Она ходит на работу пешком.,1
"Но не пробыл я у себя в кабинете и пяти минут, как горничная доложила, что меня желает видеть глазами какой-то человек.",0
Ему чужды какие-либо колебания.,1
"Генрих Манн по праву считается одним из величайших прозаиков-реалистов, жившими в двадцатом веке.",0
Участнику деловой или туристической поездки в США для оформления визы необходимо представить пакет соответствующих документов.,1
Она приняла твердую точку зрения.,0
"На галерее какой-то смятенный гражданин обнаружил у себя в кармане пачку, перевязанную банковским способом и с надписью на обложке: “Одна тысяча рублей”.",1
Я отдам тебе книги на следующей неделе.,1
Преподаватель отобрал и посоветовал учащемуся воспользоваться дополнительной литературой.,0
"За легкой стеной палатки, прямо возле моей головы, лежало гречишное поле.",0
После этого она получила к нему доверие.,0
"Носом рыть землю перестал, я его прыскала водой за это.",1
Слушатели передачи ожидали и надеялись на встречу с известным телеведущим.,0
"Вследствие этого решено было летом уехать этим в Самарские степи, где у папа было имение.",0
Члены Олимпийского комитета исполнены решимости добиться высокого качества подготовки трасс для лыжных гонок и биатлона.,1
Я не встретил Машу.,1
"Эд, который сейчас не в ладах с законом, не уехал во Флориду.",1
Вани в комнате не было.,1
Мы увидели славный город-герой.,1
У меня украли кошелек.,1
Соня присутствовала в зале при укладке хрусталя и фарфора.,1
"Хотя он всегда брал с собой кого-нибудь, на случай поломок или возможных недоразумений, но автомобилем он правил сам.",1
"Известный режиссёр заверил в интервью, что ничего автобиографического в его новой картине нет.",1
Я с трудом был целый день дома.,0
Они стояли у обрыва и смотрели вниз.,1
В моем кошельке много денег.,1
Он дал мне удар.,0
Муж заставил Лену пообещать больше не ездить туда одной.,1
"Они наняли энергичного менеджера, который знакомится с сотнями малых фирм и дает рекомендации, кого стоит рассмотреть кого внимательнее...",1
"В жизни случаются разочарования, и неприятности были – их нужно научиться преодолевать.",0
"Как ты думаешь, что он починил машину?",0
Я получила незаслуженный упрек.,1
Вдова у Ивана Ивановича живет в Горьком.,0
Он кое-как справился с заданием.,1
"Руководитель серьёзного проекта, в котором принимают участие сотни людей, должен быть глубокой и цельной личностью.",1
Я принял его в свою группу.,1
По случаю 63-й годовщины в ветеранских организациях пройдут торжественные собрания.,1
Ну что ему сделается?,1
"Тогда, если невозможны оба варианта, остаётся третий.",1
По прибытию в Париж я сразу же посетил Лувр.,0
"Принеси из сада мою кофту, я оставила ее в беседке.",1
Я не считаю квартиры.,1
Сегодня я еще не был дома.,1
"Если нравственный долг нарушил человек, он должен за это отвечать.",1
Она с негодованием приняла это известие.,0
Он присутствовал на дуэли в качестве врача.,1
У магазина толпилось много народу.,1
"Погода была дождливая, но я не взял зонт.",1
Он запер закрытую мною дверь.,1
Среди моих студентов есть способные люди.,1
"У меня какое-то странное ощущение: мне кажется, что я куда-то падаю.",1
"Американская культура по-прежнему присутствует во многих странах, но ситуация начинается меняться.",1
"Я не видела, плакал он или нет.",1
"Из всех задач выбрал самую трудную задачу, чтобы с нее начать.",1
Ты можешь взять любую из этих книг.,1
Наш новый сотрудник оказался коренастым мужчиной лет сорока.,1
Разговоры нельзя считать делами.,1
Они виделись всего несколько минут.,1
Иван не перестал ходить на лыжах.,1
"Собака уже несколько часов стояла около облупившейся грязной стены, ожидая своего хозяина.",1
"Мне самой это совершенно ясно, но другие почему-то не верят, даже самые близкие друзья.",1
Я поговорю с ними со всеми.,1
Я взял книгу и тетрадь.,1
Ты еще многое не знаешь.,1
Он прошел три четверти расстояния.,1
"Он не в Париже, а в Лондоне.",1
Он причислил меня к разряду патриотов.,1
У Маши есть брат Наташи.,0
"Я думаю, она, вероятно, откажется.",1
"Посмотри, не белеет ли Колиного парусника на горизонте.",0
На охоте мне удалось промахнуться в зайца.,0
Ребенок не соглашался из упрямства есть суп.,1
"Марья Ивановна, следовавшая глазами за всеми ее движениями, испугалась.",1
На экскурсии в ботаническом саду школьники любовались редкими садовыми растениями.,1
"Все, кто изучали процесс развития языка, знают о различных исторических изменениях на уровне фонетики, грамматики.",0
На опушке обнаружились следы медведя.,1
"Я думаю, что ты, наверное, устал.",1
"Лично я очень доволен, что мы отказались от обедов.",1
"Иван прилег, чтобы отдохнул.",0
Он не заметил холода.,1
"Здесь тихо, уличных звуков не доносится.",1
Дневника на столе не лежало.,1
Ты хоть раз вешал эту карту?,1
"Суть Государственного совета определена в его названии — он должен давать советы, к которым президент может, но не обязан прислушиваться.",1
Я решил дать вам дело №126 на доследование.,1
"Это не имело никакого значения, после того как что мы подписали?",0
"Как красиво было гречишное поле, начинавшееся за тонкой стеной палатки, прямо возле моей головы.",0
Благодаря повышения уровня сервиса в фирменных магазинах стало больше покупателей.,0
Они решили съездить туда каждый по нескольку раз.,1
"Если ты все-таки решишь любую из этих задач, то поедешь на конференцию.",0
"Я считаю, что ты, несомненно, справишься.",1
Они попели песни около костров.,1
"Он вспомнил, как ее зовут.",1
"Вчера купили Миша книгу, а Коля компакт-диск.",1
Я купила ей туфли.,1
"О посягательствах некоей Madame Alice, проживающей с детьми под фамилией Живаго в Париже, я слышал давно.",1
Он схватил ее в объятия.,1
"Она все еще не доставала то, что держала в ридикюле.",1
Вы один показались мне веселыми.,0
"Я принес документы, чтобы мне не быть на суде голословным.",1
"Оказалось, что он жил с матерью в подмосковной деревне у канала.",1
"Алексей чуть-чуть не дошел до лагеря, и мы уже рядом были, но, увы, сердце остановилось.",1
Меня огорчил его приход.,1
Разговоры нельзя принимать за дела.,1
Иван признал свою вину перед сыном.,1
"Она приняла странные взгляды, вкусы, привычки.",0
На каждой стене висело по картине.,1
"Если ты, может быть, занят, скажи прямо.",1
Его тело найти недалеко от деревни Сосенки.,1
"Когда узнаете, что такое метранпаж, позвоните в 210 номер.",1
"Я знаю, что он, несомненно, прав.",0
Ты не можешь доехать до вокзала на этом автобусе.,1
"Я сомневаюсь, погода изменится.",0
Я принял у него экзамен.,1
Сегодня меня еще не было на море.,0
"Если позовет, не приду.",1
Студент готовится всякий сдавать экзамены.,0
Вдали близ шлагбаума виднелся маленький красный домик.,1
В мае 1820 года Пушкин с семьей генерала Раевского направляется на Кавказские Минеральные Воды и заночевал в Таганроге в доме градоначальника Папкова.,0
"Вырыли яму, чтобы ловить людей, но ни одного человека в нее не упало.",1
"Люди, и без того жившие на грани нищеты, оказались лишены каких бы то ни было средств к существованию.",1
Он поставил перед собой задачу сделать это один.,1
"Причем в случае, если возникнут какие-либо экономические проблемы, виноват будет Кудрин.",1
"Так что фискалы, мягко говоря, не совсем правы.",1
"Он, я думаю, согласится.",1
Бутыль вмещает пять литров.,1
На мгновение у нее острое желание бросить их ему в лицо.,0
В Европе растет беспокойство по поводу кризиса на Среднем Востоке.,1
"Она расплакалась в присутствии Феди Долгова, благодаря которому в биографии Еки возник период пусть недолгий, но вспоминаемый ею впоследствии с гордостью.",1
Студентов первого курса включили в список.,1
Туристическая фирма обязана предоставить потребителю информацию о своей государственной регистрации и наименовании зарегистрировавшего её органа.,1
"Он в таком восторге от всего, что связано с Францией, что хочет жениться на какой-нибудь француженке.",0
"Мне досталось больше, чем кому-либо: книжки мои были вычеркнуты из планов издательств.",1
"Те, кто не изучает иностранный язык, лишён возможности читать в подлиннике шедевры мировой литературы.",0
И все то время суетились как пчелы.,1
Мои друзья хотели арендовать прошлым летом под Москвой садовый участок.,1
"У обоих спортсменок были здесь учётные карточки, так как обе были местными.",0
"Как только почувствуете, что он начинает раздражаться, немедленно не уходите.",0
"Они ходили гулять каждое утро, но воскресную прогулку пришлось отложить.",1
"На земле существовало еще одно лицо, к которому Варвара Петровна была привязана не менее, как к Степану Трофимовичу, — единственный сын ее, Николай Всеволодович Ставрогин.",1
Все гости перепробовали этот торт.,1
"Шрам от этого пореза остался у Сергея до конца его жизни, и он забинтовывал руку хирургическим бинтом.",1
Он покупает несколько журналов.,0
"Попугайчика вовремя не покормили, и он умер.",1
Он плотно закрыл дверь.,1
Возьми из моего чемодана плед и накрой Машу.,1
"Окончив свой туалет, на Наполеоне красовался синий мундир и белый жилет.",0
Отъезд в Петербург назначен.,1
"Выбирай, я или он.",1
